datetaime,price,market_caps,total_volumes
2024-08-21 08:11:53,6.642,16774467231.80316,307076862.89137566
2024-08-21 09:14:25,6.659,16817513008.378664,307926321.27939665
2024-08-21 10:04:46,6.65,16794245132.241655,308852644.2488411
2024-08-21 11:01:06,6.73,17008170152.10975,318024958.45037585
2024-08-21 12:13:07,6.756,17070966822.4753,326099169.7093756
2024-08-21 13:11:37,6.713,16960145498.039011,321941012.73255837
2024-08-21 14:13:07,6.739,17052285581.291882,312696159.8811384
2024-08-21 15:24:24,6.708,16958653171.399368,301823868.445864
2024-08-21 16:15:27,6.683,16866082624.698904,293025846.43431056
2024-08-21 17:09:05,6.701,16948639438.136883,282243159.63818705
2024-08-21 18:20:26,6.682,16868095216.068245,297551715.26897293
2024-08-21 19:20:30,6.724,16997031005.662935,302410866.3146026
2024-08-21 20:18:05,6.585,16643656360.215776,320478863.89269155
2024-08-21 21:03:27,6.517,16479722215.34538,120845625.49421252
2024-08-21 22:11:12,6.54,16518099584.19314,375318149.09174174
2024-08-21 23:08:54,6.502,16424904445.142113,381895011.9179442
2024-08-22 00:13:26,6.485,16426578975.708998,383299094.22628987
2024-08-22 01:14:03,6.511,16432502511.520433,388164825.92552155
2024-08-22 02:05:27,6.546,16534417523.868193,391143919.79023385
2024-08-22 03:15:58,6.549,16544306330.156609,398464878.7629894
2024-08-22 04:10:36,6.583,16640839300.753107,413201180.05309343
2024-08-22 05:24:23,6.558,16553269801.425438,419003958.3068634
2024-08-22 06:04:50,6.552,16547742181.84466,424425585.28159386
2024-08-22 07:11:06,6.498,16400771304.396961,450880262.1100519
2024-08-22 08:19:43,6.497,16402126384.684727,448124927.3435726
2024-08-22 09:00:14,6.527,16479242083.651625,450215667.6415381
2024-08-22 10:16:03,6.511,16418692157.056429,439868580.2914904
2024-08-22 11:07:04,6.539,16540173316.310614,444206604.9845556
2024-08-22 12:21:35,6.519,16456516176.606947,442314852.7905195
2024-08-22 13:09:15,6.542,16521941810.707182,442603892.540317
2024-08-22 14:00:59,6.545,16497575706.197002,436981565.26062155
2024-08-22 15:08:33,6.528,16454770033.800695,425277849.0998214
2024-08-22 16:10:18,6.531,16495016375.571182,428737778.9737732
